2016-10-01 08:54:39.5849 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:54:39.6098 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:54:39.6240 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:54:39.6352 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:54:39.6835 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:54:39.6943 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:54:39.6943 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:54:39.7177 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:54:40.1733 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:54:40.1850 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:54:40.1952 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:54:40.1952 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:54:46.2817 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:54:46.2954 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:54:46.3120 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:54:46.3349 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:54:46.7217 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:54:46.7339 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:54:46.7461 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
